65  -1
5   -2
44  -3

0	1
1	2
2	3
2	4
2	5
2	6
2	7
3	4
3	5
4	6
4	7
5	8
5	9
5	10
6	3
6	7
6	8
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
16	18
16	10
16	19
16	20
16	21
16	22
16	7
16	8
16	9
17	19
18	20
18	21
18	22
18	23
18	24
18	25
19	20
20	21
21	22
22	23
23	24
23	25
23	5
23	26
24	27
24	30
25	31
25	3
25	6
25	7
25	8
26	9
26	22
27	28
28	29
28	30
29	31
29	32
29	33
30	34
30	10
31	33
32	35
32	33
32	1
33	34
34	35
35	36
36	37
37	38
37	40
38	41
38	50
39	40
40	41
41	42
41	42
42	43
42	43
43	44
43	45
44	46
45	47
46	48
47	49
48	50
48	51
49	52
50	53
51	40
51	52
52	46
52	53
53	54
54	55
55	56
56	57
56	45
56	44
57	58
58	59
59	60
60	61
61	62
61	63
62	5
63	64
64	0
